Time,tv_sponsorships,tv_cricket,tv_RON,radio,NPP,Magazines,OOH,Social,Display_Rest,sales
1/5/2016,63.45,63.45,126.9,21.3,10,1,15,22.2075,17.766,17600
1/6/2016,51.25,51.25,102.5,45.1,10,1,15,17.9375,14.35,22600
1/7/2016,34.875,34.875,69.75,2.1,10,1,15,12.20625,9.765,10300
1/8/2016,47.775,47.775,95.55,28.7,10,1,15,16.72125,13.377,17300
1/9/2016,71.5,71.5,143,13.9,10,1,15,25.025,20.02,15900
1/10/2016,4.675,4.675,9.35,12.1,10,1,15,1.63625,1.309,6700
1/11/2016,9.875,9.875,19.75,41.1,10,1,15,3.45625,2.765,10800
1/12/2016,18.875,18.875,37.75,10.8,10,1,15,6.60625,5.285,9900
1/1/2017,4.3,4.3,8.6,4.1,10,1,15,1.505,1.204,5900
1/2/2017,41.7,41.7,83.4,42,10,1,15,14.595,11.676,19600
1/3/2017,37.425,37.425,74.85,35.6,10,1,15,13.09875,10.479,17300
1/4/2017,9.55,9.55,19.1,3.7,10,1,15,3.3425,2.674,7600
1/5/2017,23.55,23.55,47.1,4.9,10,1,15,8.2425,6.594,9700
1/6/2017,44.25,44.25,88.5,9.3,10,1,15,15.4875,12.39,12800
1/7/2017,70.9,70.9,141.8,42,10,1,15,24.815,19.852,25500
1/8/2017,58.025,58.025,116.05,8.6,10,1,15,20.30875,16.247,13400
